speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
10-24,220.515999998897,alive,airbag,belted,0,m,54,1999,1991,nodeploy,driver,0,2
10-24,805.342999994755,alive,none,belted,1,m,40,1999,1980,unavail,driver,0,0
55+,6.15699999994831,dead,none,belted,1,m,71,1999,1984,unavail,driver,0,4
25-39,6.15699999994831,dead,none,none,1,m,38,1999,1990,unavail,driver,0,4
10-24,9.97999999998137,alive,none,belted,1,m,37,1999,1985,unavail,driver,0,3
10-24,9.97999999998137,alive,airbag,belted,1,f,62,1999,1994,deploy,driver,1,3
10-24,9.97999999998137,alive,none,belted,1,f,32,1999,1994,unavail,pass,0,0
25-39,151.964999999851,alive,airbag,belted,0,f,25,1999,1998,nodeploy,driver,0,0
10-24,312.041999999434,alive,none,belted,0,m,50,1999,1989,unavail,driver,0,0
10-24,12.5149999998976,alive,airbag,belted,0,f,28,1999,1997,nodeploy,driver,0,0
10-24,12.5149999998976,alive,airbag,belted,1,f,50,1999,1991,nodeploy,driver,0,3
10-24,479.534999996424,alive,airbag,belted,0,f,31,1999,1993,nodeploy,driver,0,2
55+,4.49099999997998,alive,none,none,1,m,75,1999,1984,unavail,driver,0,3
25-39,4.49099999997998,alive,airbag,belted,1,f,44,1999,1994,nodeploy,driver,0,0
25-39,4.49099999997998,alive,airbag,belted,1,m,50,1999,1994,nodeploy,pass,0,1
25-39,6.15299999999115,alive,none,none,1,m,42,1999,1986,unavail,driver,0,3
25-39,6.15299999999115,alive,none,none,1,m,31,1999,1990,unavail,driver,0,2
25-39,6.15299999999115,alive,none,none,1,m,24,1999,1990,unavail,pass,0,3
10-24,3.737999999983,alive,airbag,belted,1,m,17,1999,1994,deploy,driver,1,0
10-24,3.737999999983,alive,airbag,belted,0,m,44,1999,1998,nodeploy,driver,0,3
10-24,45.7239999999292,alive,airbag,belted,1,m,27,1999,1998,nodeploy,driver,0,1
25-39,54.9469999996945,alive,airbag,belted,1,m,30,1999,1996,deploy,driver,1,1
25-39,54.9469999996945,alive,airbag,belted,1,f,23,1999,1996,deploy,pass,1,1
10-24,649.321999996901,alive,airbag,belted,1,m,48,1999,1995,deploy,driver,1,0
10-24,3.63899999999558,alive,airbag,none,0,f,19,1999,1999,nodeploy,driver,0,0
10-24,3.63899999999558,alive,airbag,none,0,m,29,1999,1999,nodeploy,pass,0,2
55+,4.49099999997998,alive,none,belted,1,f,22,1999,1987,unavail,driver,0,3
10-24,112.142999999225,alive,none,belted,0,m,56,1999,1993,unavail,driver,0,0
10-24,112.142999999225,alive,none,none,1,m,26,1999,1979,unavail,driver,0,2
10-24,409.554999999702,alive,none,none,0,f,33,1999,1984,unavail,driver,0,0
10-24,4.49099999997998,alive,none,none,0,m,33,1999,1978,unavail,driver,0,3
10-24,4.49099999997998,alive,none,none,0,f,33,1999,1978,unavail,pass,0,3
10-24,4.31099999998696,alive,none,none,1,m,40,1999,1985,unavail,driver,0,3
10-24,4.31099999998696,alive,none,belted,1,m,42,1999,1985,unavail,pass,0,3
25-39,4.49099999997998,alive,none,none,1,m,27,1999,1968,unavail,driver,0,0
25-39,4.49099999997998,alive,airbag,belted,0,m,29,1999,1990,nodeploy,driver,0,3
25-39,4.49099999997998,alive,airbag,belted,0,f,24,1999,1990,nodeploy,pass,0,3
10-24,3.3179999999993,alive,airbag,belted,1,m,52,1999,1996,deploy,driver,1,3
10-24,3.3179999999993,alive,airbag,belted,1,f,51,1999,1996,deploy,pass,1,2
10-24,3.3179999999993,alive,airbag,belted,0,m,54,1999,1996,nodeploy,driver,0,1
25-39,4.49099999997998,alive,none,none,1,m,37,1999,1979,unavail,driver,0,3
25-39,3.69399999998859,dead,none,belted,0,m,81,1999,1988,unavail,driver,0,4
25-39,3.19899999999325,alive,none,none,0,f,20,1999,1990,unavail,driver,0,3
25-39,18.3239999997895,alive,none,belted,1,m,26,1999,1990,unavail,driver,0,0
10-24,18.3239999997895,alive,none,none,1,f,26,1999,1987,unavail,driver,0,3
10-24,18.3239999997895,alive,none,none,1,f,38,1999,1987,unavail,pass,0,1
10-24,4.49099999997998,alive,none,none,1,f,25,1999,1984,unavail,driver,0,3
10-24,253.5,alive,none,belted,1,m,29,1999,1989,unavail,driver,0,3
10-24,925.79999999702,alive,none,belted,0,m,21,1999,1983,unavail,driver,0,0
10-24,925.79999999702,alive,none,belted,0,f,20,1999,1983,unavail,pass,0,NA
10-24,925.79999999702,alive,none,belted,1,m,40,1999,1987,unavail,driver,0,0
25-39,4.49099999997998,alive,none,none,1,m,23,1999,1985,unavail,driver,0,0
25-39,4.49099999997998,alive,none,none,1,m,25,1999,1985,unavail,pass,0,2
40-54,4.49099999997998,alive,none,belted,0,m,21,1999,1989,unavail,driver,0,3
10-24,237.4729999993,alive,none,belted,1,m,66,1999,1989,unavail,driver,0,0
25-39,3.19899999999325,alive,airbag,none,1,m,26,1999,1998,deploy,driver,1,3
10-24,143.871999999508,alive,airbag,belted,0,f,21,1999,1998,nodeploy,driver,0,3
10-24,143.871999999508,alive,airbag,belted,0,m,17,1999,1998,nodeploy,pass,0,0
1-9km/h,3.19899999999325,alive,airbag,belted,0,m,50,1999,1997,deploy,driver,1,3
1-9km/h,3.19899999999325,alive,none,belted,0,f,49,1999,1997,unavail,pass,0,5
10-24,936.125,alive,none,none,0,m,70,1999,1979,unavail,driver,0,0
